NUTS,value
UKC11,20020
UKC12,16857
UKC13,25041
UKC14,16617
UKC21,16408
UKC22,23109
UKC23,23373
UKD11,21919
UKD12,24347
UKD33,36136
UKD34,29858
UKD35,20537
UKD36,17209
UKD37,17292
UKD41,20525
UKD42,17309
UKD44,18482
UKD45,31053
UKD46,18564
UKD47,18701
UKD61,32654
UKD62,36201
UKD63,30677
UKD71,23177
UKD72,24397
UKD73,16207
UKD74,15590
UKE11,20258
UKE12,18363
UKE13,21512
UKE21,25270
UKE22,22694
UKE31,17092
UKE32,20854
UKE41,18756
UKE42,29626
UKE44,19213
UKE45,21497
UKF11,26816
UKF12,18527
UKF13,19566
UKF14,29362
UKF15,18654
UKF16,17336
UKF21,22546
UKF22,24184
UKF24,28035
UKF25,21451
UKF30,18016
UKG11,19833
UKG12,22629
UKG13,30245
UKG21,23306
UKG22,19737
UKG23,20908
UKG24,19039
UKG31,24717
UKG32,36873
UKG33,24890
UKG36,16793
UKG37,19365
UKG38,18254
UKG39,18837
UKH11,28315
UKH12,29049
UKH14,22881
UKH15,22971
UKH16,20258
UKH17,19861
UKH21,26018
UKH23,31073
UKH24,24220
UKH25,21009
UKH31,17529
UKH32,21405
UKH34,20690
UKH35,25622
UKH36,24958
UKH37,19542
UKI31,342183
UKI32,258214
UKI33,74598
UKI34,40368
UKI41,24931
UKI42,97735
UKI43,48251
UKI44,36150
UKI45,37126
UKI51,18991
UKI52,19610
UKI53,17603
UKI54,19828
UKI61,22852
UKI62,20710
UKI63,25337
UKI71,27004
UKI72,27479
UKI73,29342
UKI74,35323
UKI75,44466
UKJ11,41727
UKJ12,49516
UKJ13,30131
UKJ14,34016
UKJ21,27539
UKJ22,19348
UKJ25,35685
UKJ26,31105
UKJ27,22793
UKJ28,30834
UKJ31,26689
UKJ32,27502
UKJ34,20136
UKJ35,23693
UKJ36,29053
UKJ37,31167
UKJ41,19205
UKJ43,21955
UKJ44,19258
UKJ45,24296
UKJ46,29057
UKK11,31458
UKK12,27931
UKK13,26248
UKK14,33564
UKK15,22612
UKK21,24667
UKK22,19592
UKK23,20400
UKK30,17634
UKK41,19970
UKK42,15512
UKK43,21099
UKL11,14309
UKL12,19971
UKL13,16876
UKL14,17005
UKL15,16840
UKL16,14831
UKL17,18284
UKL18,19319
UKL21,23246
UKL22,26467
UKL23,25459
UKL24,17734
UKM50,37924
UKM61,20537
UKM62,25326
UKM63,25025
UKM64,19694
UKM65,23752
UKM66,33865
UKM71,23690
UKM72,21165
UKM73,18064
UKM75,44228
UKM76,22208
UKM77,28014
UKM78,22909
UKM81,16092
UKM82,31490
UKM83,19082
UKM84,18802
UKM91,16756
UKM92,18604
UKM93,13703
UKM94,19799
UKM95,17486
UKN06,47893
UKN07,17531
UKN08,13766
UKN09,10064
UKN10,17193
UKN11,16796
UKN12,13129
UKN13,18082
UKN14,16598
UKN15,15197
UKN16,13410
